Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,13.00,13.05,13.00,13.05,400,13.05
2016-09-15,12.92,13.05,12.90,12.90,26500,12.90
2016-09-14,13.04,13.12,13.00,13.00,18600,13.00
2016-09-13,13.00,13.05,12.95,13.05,2100,13.05
2016-09-12,13.17,13.17,13.17,13.17,100,13.17
2016-09-09,13.05,13.19,12.80,12.80,20600,12.80
2016-09-08,13.09,13.19,13.02,13.08,4400,13.08
2016-09-07,12.98,13.15,12.77,13.14,11000,13.14
2016-09-06,12.96,13.01,12.95,13.00,16700,13.00
2016-09-05,13.20,13.20,13.20,13.20,000,13.20
2016-09-02,13.10,13.20,13.06,13.20,5000,13.20
2016-09-01,13.10,13.20,12.92,13.20,9700,13.20
2016-08-31,13.20,13.42,13.05,13.15,5300,13.15
2016-08-30,13.30,13.50,13.20,13.20,3800,13.20
2016-08-29,13.40,13.53,13.15,13.30,10000,13.30
2016-08-26,13.42,13.49,13.42,13.49,2000,13.49
2016-08-25,13.39,13.42,13.39,13.42,800,13.42
2016-08-24,13.26,13.39,13.19,13.39,700,13.39
2016-08-23,13.13,13.44,13.13,13.44,2200,13.44
2016-08-22,13.33,13.50,13.31,13.31,2000,13.31
2016-08-19,13.48,13.48,13.48,13.48,100,13.48
2016-08-18,13.45,13.63,13.24,13.35,3200,13.35
2016-08-17,13.30,13.66,13.22,13.34,3100,13.34
2016-08-16,13.16,13.73,13.10,13.39,1900,13.39
2016-08-15,13.64,13.71,13.22,13.22,4000,13.22
2016-08-12,13.21,13.40,13.20,13.20,4800,13.20
2016-08-11,13.25,13.40,13.25,13.40,900,13.40
2016-08-10,13.20,13.20,13.20,13.20,3000,13.20
2016-08-09,13.20,13.25,13.20,13.25,2600,13.25
2016-08-08,13.20,13.23,13.20,13.23,7900,13.23
2016-08-05,13.05,13.23,12.93,13.23,1100,13.23
2016-08-04,13.20,13.25,12.97,13.10,5100,13.10
2016-08-03,13.30,13.54,13.23,13.25,1600,13.25
2016-08-02,13.40,13.40,13.24,13.32,1800,13.32
2016-08-01,13.44,13.44,13.44,13.44,000,13.44
2016-07-29,13.44,13.44,13.44,13.44,000,13.44
